# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Name,Price,Reviews,Ratings,Product Details
ALMOSTHERE® 1 Pcs Pop it Fidget Unicorn Sling Bag with Adjustable Sling Zipper Closer Silicone Unicorn Cross Body Shoulder Bag Travel Pouch for Girls Stress Relief Multicolor Pouch Travel Pouch,229,4.0,,
"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",549,4.1,,
uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"1,000",4.2,,
WILDHORN Laptop Backpack for Men/Women I Waterproof I Travel/Business/College Bookbags Fit 15.6 Inch Laptop,764,4.0,,
WILDHORN Laptop Backpack for Men/Women I Waterproof I Travel/Business/College Bookbags Fit 15.6 Inch Laptop,799,4.0,,
F Gear String 11 Ltrs Nylon Black Gym Bag,190,4.0,,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,,
TAGUDA Travel Foldable Portable Lightweight Luggage Storage Duffle Tote Hand Organizer Easy Carry Bags Backpack Set for Men Women Travel Luggage (Mint Green Travel Bag),299,3.4,,
Gear Polyester 23 Cms Travel Bag(DUFCRSTNG4314_Khaki),478,4.1,,
Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,778,4.0,,
Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip,746,4.0,,
Storite Nylon 51 cms Imported Travel Duffle Bag Muti- Pocket Sports Shoulder Bag for Women with Wet Pocket & Shoe Compartment Weekender Overnight Travel Luggage Bag (Green/White - 51x22x26 cm),"1,199",3.8,,
Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),512,4.0,,
"Backpack | OBH BAGS 30 L ater Resistant Laptop Daypack (14"" Laptop Compartment) Work | Travel Backpack for Men and Women",399,,,
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,700",4.0,,
Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Tan-Black,979,4.4,,
ZOUK Women Laptop Bag Royal Indian Peacock Motif,"1,698",4.4,,
"Nivia 5227 Pulse Junior Bag, Others (Orange) (Aqua/Green)",294,3.7,,
Skybags Unisex Grey Jacqard 34L Laptop Bags,"1,248",4.1,,
Glowic Unisex's Backpack for Men Women Boys Girls/Office School College Teens & Students (WBAG-64) (Black),969,3.6,,
"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","1,099",4.2,,
"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",599,4.4,,
Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,"1,099",4.1,,
"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",845,4.0,,
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900",4.5,,
"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",845,4.0,,
Swiss Military Multi Utility Backpack with USB Charging Port - LBP90 and Combo Offers,"1,845",3.5,,
Kuber Industries Marvel Avengers School Bag for Kids|Stylish Backpacks for Kids|Rexine Waterproof Shoulder Straps Bag (Blue),664,3.9,,
Skybags Unisex Grey Jacqard 34L Laptop Bags,"1,248",4.1,,
Glowic Unisex's Backpack for Men Women Boys Girls/Office School College Teens & Students (WBAG-64) (Black),969,3.6,,
"HP Lightweight 200 15.6-inch Laptop Backpack with Padded Shoulder Straps, Green","1,499",4.3,,
Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,"1,099",4.1,,
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,499,3.9,,
F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),895,4.2,,
ADISA Women Girls Floral Print Round Sling Bag,390,4.2,,
"Swiss Military 26 Ltrs Grey Casual Laptop Backpack with USB Charging Port, Black and Grey Color, PU Leather with Widened Luggage Belt LBP73C","1,557",2.9,,
"WALKENT Premium, Stylish & Semi-Hard Shell 15.6"" Laptop Bag | Anti-Theft Pocket | Waterproof Fabric & Zipper | Side Bottle Pocket | Office & College | For Men & Women","3,790",,,
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),698,3.9,,
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,613,3.9,,
"Frantic Soft Cartoon Animal Velvet Plush School Backpack Bag For 2 To 5 Years Boys/Girls - Nursery, Preschool, Picnic",309,3.8,,
"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",599,4.2,,
Isle Locada by Hidesign Women's SLING BAG(AUBERGINE/AUBERG),"1,999",4.5,,
MI Business Casual 21L Water Resistant Laptop Backpack,999,4.4,,
Half Moon 30L Water Resistant 15.6 inch Laptop Bag/Backpack for Men | School Bag for Boys Girls | Office Bag pack for Men/Office Back Packed for Women with Padded Laptop Compartment,599,3.5,,
Safari Large Size 32 Ltrs Casual Backpack-Black,"1,009",4.0,,
"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls, 750 Days warranty (Blue)","1,350",4.1,,
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,300",4.2,,
Impulse Parkar 40L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,"1,529",3.7,,
uppercase Nexus Professional Anti-Theft Overnighter Travel Laptop Backpack,"2,500",4.9,,
Half Moon 30L Water Resistant 15.6 inch Laptop Bag/Backpack for Men | School Bag for Boys Girls | Office Bag pack for Men/Office Back Packed for Women with Padded Laptop Compartment,599,3.5,,
Safari Large Size 32 Ltrs Casual Backpack-Black,"1,009",4.0,,
"MOKOBARA The Transit Backpack - 30L Premium Nylon 15.6"" Unisex Laptop Bag With Luggage Sleeve","4,999",4.5,,
F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376),"1,071",4.0,,
Priority ARC 56 cm Red Polyester 2 Wheel Duffle Trolley Bag | Travel Luggage for Men & Women,699,4.1,,
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,819,3.9,,
Safari Polyester 24 Cms Travel Bag(KRYPTON17DFBLK_Black),575,4.0,,
high power 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,625,3.0,,
Forever 35 L Blueno Laptop Backpack (Black),999,,,
Forever Manifest Large 35 L Laptop Backpack Spacy unisex Backpack with rain cover (Navy Blue),799,,,
Aristocrat 45 Ltrs Black Rucksack,"1,500",4.0,,
"Storite Nylon 44 cms Imported Travel Duffle Bag Sports Gym Shoulder Bag for Women with Wet Pocket & Shoe Compartment Weekender Overnight Travel Luggage Bag (Grey, 44 x 18 x 29 cm)","1,199",4.1,,
Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),990,4.1,,
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),448,4.3,,
KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"2,067",4.4,,
Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.2,,
"WILD MODA Women's Shoulder Bag, Set of 1",849,4.2,,
"Amazon Basics Water Repellent and Wear Resistant Laptop Backpack - 24L, Blue",649,4.2,,
"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",845,4.0,,
"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",950,4.0,,
